channel-id,display-name,tvg-id,tvg-name
Baby.il,Baby,2299486,
Big.Brother.HD.il,Big Brother HD,2436645,
Channel.14.HD.il,Channel 14 HD,2299412,
ערוץ.14.שידור.חי.il,ערוץ 14 שידור חי,2299412,
ערוץ 14.il,ערוץ 14.il,2299412,
Discovery.HD.il,Discovery HD,2305580,
ערוץ.דיסקברי.il,ערוץ דיסקברי,2305580,
ערוץ דיסקברי.il,ערוץ דיסקברי.il,2305580,
Disney.HD.il,Disney HD,2299479,
Disney.Junior.il,Disney Junior,2299478,
EUROSPORT.HD.il,EUROSPORT HD,2299426,
EUROSTAR.il,EUROSTAR,2299426,
Eurosport.il,Eurosport,2299426,
Eurosport.2.il,Eurosport 2,2299427,
HOP.il,HOP,2299485,
History.HD.il,History HD,2305579,
Indian.series.2.il,Indian series 2,2299471,
Indian.series.il,Indian series,2299472,
Israel.Plus.(9).il,Israel Plus (9),2299414,
ערוץ.9.שידור.חי.il,ערוץ 9 שידור חי,2299414,
ערוץ 9.il,ערוץ 9.il,2299414,
Junior.il,Junior,2299484,
Kan.Educational.il,Kan Educational,2305576,
כאן חינוכית.il,כאן חינוכית.il,2305576,
Kan.HD.LL.il,Kan HD LL,2299409,
Kan.HD.SUB.il,Kan HD SUB,2299409,
Kan.HD.il,Kan HD,2299409,
ערוץ 11.il,ערוץ 11.il,2299409,
Keshet.HD.SUB.il,Keshet HD SUB,2299410,
Keshet.HD.il,Keshet HD,2299410,
ערוץ.12.שידור.חי.il,ערוץ 12 שידור חי,2299410,
ערוץ 12.il,ערוץ 12.il,2299410,
Knesset.il,Knesset,2299415,
ערוץ הכנסת.il,ערוץ הכנסת.il,2299415,
NICK.Junior.il,NICK Junior,2299481,
National.G..HD.il,National G. HD,2305581,
National.G..Wild.HD.il,National G. Wild HD,2305581,
ערוץ.נשיונל.גיאוגרפיק.il,ערוץ נשיונל גיאוגרפיק,2305581,
Nickelodeon.il,Nickelodeon,2299480,
ניקלודיאון.שידור.חי.il,ניקלודיאון שידור חי,2299480,
ערוץ ניקלודיאון.il,ערוץ ניקלודיאון.il,2299480,
ONE.EDGE.il,ONE EDGE,2299428,
ONE.HD.il,ONE HD,2299424,
ערוץ.one.שידור.חי.il,ערוץ one שידור חי,2299424,
ערוץ One.il,ערוץ One.il,2299424,
ONE2.HD.il,ONE2 HD,2299425,
ערוץ 13.il,ערוץ 13.il,2299411,
Sport.1.HD.il,Sport 1 HD,2299416,
Sport.1.single.(63).il,Sport 1 single (63),2299416,
ספורט 1.il,ספורט 1.il,2299416,
Sport.2.HD.il,Sport 2 HD,2299417,
ספורט 2.il,ספורט 2.il,2299417,
Sport.3.HD.il,Sport 3 HD,2299418,
ספורט 3.il,ספורט 3.il,2299418,
Sport.4.HD.il,Sport 4 HD,2299419,
ספורט 4.il,ספורט 4.il,2299419,
Sport.5+.HD.(56).il,Sport 5+ HD (56),2350798,
ספורט.5.פלוס.il,ספורט 5 פלוס,2350798,
ספורט 5 פלוס.il,ספורט 5 פלוס.il,2350798,
Sport.5.4K.il,Sport 5 4K,2299420,
Sport.5.HD.(55).il,Sport 5 HD (55),2299420,
ספורט.5.שידור.חי.il,ספורט 5 שידור חי,2299420,
ספורט 5.il,ספורט 5.il,2299420,
Sport.5.Gold.(57).il,Sport 5 Gold (57),2299423,
ספורט.5.גולד.il,ספורט 5 גולד,2299423,
ספורט 5 גולד.il,ספורט 5 גולד.il,2299423,
Sport.5.Live.HD.(58).il,Sport 5 Live HD (58),2299421,
ספורט.5.לייב.il,ספורט 5 לייב,2299421,
ספורט 5 פלוס לייב.il,ספורט 5 פלוס לייב.il,2299421,
Sport.5.Stars.HD.(59).il,Sport 5 Stars HD (59),2299422,
TeenNick.il,TeenNick,2299482,
ערוץ.TeenNick.il,ערוץ TeenNick,2299482,
ערוץ טין ניק.il,ערוץ טין ניק.il,2299482,
Turkish.Drama.2.il,Turkish Drama 2,2299467,
Turkish.Drama.3.il,Turkish Drama 3,2299468,
Turkish.Drama.il,Turkish Drama,2299466,
Viva.Istanbul.(Viva.Plus).il,Viva Istanbul (Viva Plus),2299474,
Viva.Premium.il,Viva Premium,2299476,
Viva.Telenovelas.(Viva).il,Viva Telenovelas (Viva),2299477,
ערוץ.ויוה.שידור.חי.il,ערוץ ויוה שידור חי,2299477,
ערוץ ויוה.il,ערוץ ויוה.il,2299477,
Viva.Vintage.il,Viva Vintage,2299475,
ZOOM.TOON.il,ZOOM TOON,2299488,
ZOOM.il,ZOOM,2299487,
i24news בעברית.il,i24news בעברית.il,2299413,
הוט.בידור.ישראלי.il,הוט בידור ישראלי,2299442,
הוט בידור ישראלי.il,הוט בידור ישראלי.il,2299442,
ערוץ.24.בשידור.חי.il,ערוץ 24 בשידור חי,2305577,
ערוץ 24.il,ערוץ 24.il,2305577,
ערוץ.3.שידור.חי.il,ערוץ 3 שידור חי,2299435,
ערוץ 3.il,ערוץ 3.il,2299435,
ערוץ.8.שידור.חי.il,ערוץ 8 שידור חי,2299436,
ערוץ 8.il,ערוץ 8.il,2299436,
הוט סינמה 1.il,הוט סינמה 1.il,2299429,
הוט סינמה 2.il,הוט סינמה 2.il,2299430,
הוט סינמה 3.il,הוט סינמה 3.il,2299431,
נשיונל גיאוגרפיק.il,נשיונל גיאוגרפיק.il,2305581,
