tvg-id,tvg-name,channel-id
2436645,האח הגדול,PT38
2299409,כאן 11,CH30
2299410,ערוץ 12,CH34
2299411,ערוץ 13,CH36
2299412,ערוץ 14,PT92
2305576,כאן חינוכית,CH57
2299413,i24,CN28
2305577,ערוץ 24,TV67
2305578,ערוץ הכלכלה,CN32
2299414,ערוץ 9,TV50
2299415,ערוץ הכנסת,TV89
2299416,ספורט 1,PT53
2299417,ספורט 2,PT98
2299418,ספורט 3,CH09
2299419,ספורט 4,CH11
2299420,ספורט 5,PT26
2299421,ספורט 5 ישיר,PT62
2350798,ספורט 5 פלוס,CH54
2299422,ספורט 5 סטארס,CH56
2299423,ספורט 5 גולד,MU03
2299424,ONE 1,TR01
2299425,ONE 2,CH58
2299426,יורוספורט 1,PT39
2299427,יורוספורט 2,CH33
2299428,Edge Sport,CHN3
2299429,HOT Cinema 1,HOTCinema1.il
2299430,HOT Cinema 2,HOTCinema2.il
2299431,HOT Cinema 3,HOTCinema3.il
2299432,HOT Cinema 4,HOTCinema4.il
2299433,HOT סינמה ישראלי,2299433
2299434,HOT Comedy,HOTComedy.il
2299435,HOT 3,ערוץ 3.il
2299436,HOT 8,ערוץ 8.il
2299437,HOT Senior,HOTSenior.il
2299438,HOT Zone,HOTZone.il
2299439,HOT Real,HOTReal.il
2299440,HOT משפחה,2299440
2299441,HOT HBO,2299441
2299442,HOT בידור,HotBidor.il
2299443,HOT Buzz,2299443
2299444,Partner סרטים,2299444
2299445,Partner סדרות,2299445
2299446,Partner ילדים,2299446
2299447,FreeTV סדרות דרמה,2299447
2299448,FreeTV סדרות קומדיה,2299448
2299449,FreeTV Movies ישראלי,2299449
2299450,FreeTV Movies Action,2299450
2299451,FreeTV Movies Romantic,2299451
2299452,FreeTV Movies Drama,2299452
2299453,FreeTV Movies Comedy,2299453
2299454,FreeTV Movies אימה,2299454
2299455,FreeTV Series Global,2299455
2299456,Free Movies Family,2299456
2299457,FreeTV דוקו,2299457
2299458,FreeTV Lifestyle,2299458
2299459,FreeTV בישול,2299459
2299460,ערוץ קריוקי,2299460
2299461,ערוץ הכוכב הבא,2299461
2299462,ערוץ חתונמי,2299462
2299463,סלקום סרטים,2299463
2299464,סלקום ישראלי,2299464
2299465,סלקום ילדים,2299465
2299466,ערוץ הדרמות הטורקיות+,CH70
2299467,ערוץ הדרמות הטורקיות 2,CH80
2299468,ערוץ הדרמות הטורקיות 3,CH77
2299469,ערוץ הדרמות הספריות 1,CN30
2299470,ערוץ הדרמות הספרדיות 2,CN31
2299471,ערוץ הדרמות ההודיות 1,CN19
2299472,ערוץ הדרמות ההודיות 2,CN20
2299473,Bollywood,CH68
2299474,ויוה +,TV20
2299475,ויוה וינטג,CH75
2299476,ויוה פרמיום,CH89
2299477,ויוה,Viva.il
2305579,ערוץ ההיסטוריה,PT55
2305580,דיסקברי,PT94
2305581,נשיונל גיאוגרפיק,PT25
2299478,ערוץ דיסני ג'וניור,PT59
2299479,ערוץ דיסני,PT91
2299480,ניקלודיאון,NK01
2299481,ניק ג'וניור,PT69
2299482,TeenNick,CH18
2299483,לולי,2299483
2299484,Junior,TA05
2299485,הופ!,TV24
2299486,בייבי,TA02
2299487,Zoom,PT85
2299488,Zoom Toon,ZOOM.TOON.il
